Suburb,avg_price,median_price,avg_building_area,total_revenue,transaction_count,avg_price_per_room,avg_landsize,price_to_area_ratio,revenue_pct,cumulative_revenue_pct,pareto_80
Ashburton,1726058.3333333333,1658500.0,177.08333333333334,103563500.0,60,523574.02783333336,626.0833333333334,9747.15,0.714,58.377,True
Keilor East,811580.9917355372,807000.0,153.17355371900825,98201300.0,121,252474.79363636364,537.9173553719008,5298.44,0.677,59.054,True
Kensington,831667.4358974359,812000.0,103.36495726495727,97305090.0,117,363269.18794871797,475.04273504273505,8045.93,0.671,59.725,True
Footscray,708893.9393939395,751000.0,101.6719696969697,93574000.0,132,291033.459469697,310.3636363636364,6972.36,0.645,60.37,True
Brunswick West,844454.5454545454,881250.0,114.06818181818181,92890000.0,110,321317.58645454544,327.7909090909091,7403.07,0.641,61.011,True
Ormond,1104554.21686747,1005500.0,123.6921686746988,91678000.0,83,398636.94771084335,419.0,8929.86,0.632,61.643,True
Kew East,1694163.2653061224,1750000.0,161.91836734693877,83014000.0,49,511495.237755102,644.6326530612245,10463.07,0.573,62.216,True
West Footscray,788942.8571428572,840000.0,126.22104761904761,82839000.0,105,283632.85723809525,376.2761904761905,6250.49,0.571,62.787,True
Bulleen,1155343.661971831,1160000.0,174.45070422535213,82029400.0,71,352648.82661971834,595.4929577464789,6622.75,0.566,63.353,True
Brunswick East,929193.1818181818,938500.0,105.46931818181817,81769000.0,88,381925.1894318182,255.9431818181818,8810.08,0.564,63.917,True
Niddrie,971628.0487804879,965000.0,146.64926829268293,79673500.0,82,347336.3823170732,479.7439024390244,6625.52,0.549,64.466,True
Murrumbeena,969740.0975609756,910250.0,117.79878048780488,79518688.0,82,365034.30097560975,467.5731707317073,8232.17,0.548,65.014,True
Sunshine,715918.9099099099,702000.0,130.8409009009009,79466999.0,111,243465.83774774772,482.8018018018018,5471.68,0.548,65.562,True
Maribyrnong,826856.25,820000.0,143.36604166666666,79378200.0,96,277152.7775,585.3020833333334,5767.45,0.547,66.109,True
Mount Waverley,1384396.49122807,1387000.0,161.66614035087719,78910600.0,57,409545.3219298246,613.3859649122807,8563.31,0.544,66.653,True
Elsternwick,1275377.049180328,1060000.0,135.62295081967213,77798000.0,61,440659.8360655738,393.672131147541,9403.84,0.537,67.19,True
Box Hill,1277557.627118644,1325000.0,134.35593220338984,75375900.0,59,414653.3901694915,470.9491525423729,9508.75,0.52,67.71,True
